id,mpg
219,29.866666666666667
322,35.934375
260,18.838709677419356
168,24.423076923076923
97,14.935483870967742
223,18.838709677419356
367,23.866666666666664
239,29.866666666666667
206,24.423076923076923
92,12.875
241,24.423076923076923
53,29.866666666666667
83,24.423076923076923
347,35.934375
203,18.838709677419356
269,35.934375
237,18.838709677419356
328,23.866666666666664
225,14.935483870967742
85,24.423076923076923
374,23.866666666666664
155,18.838709677419356
391,27.826666666666664
180,18.838709677419356
132,29.866666666666667
274,35.934375
190,14.935483870967742
343,35.934375
55,29.866666666666667
376,35.934375
279,35.934375
116,14.935483870967742
360,23.866666666666664
35,18.838709677419356
306,27.826666666666664
153,18.838709677419356
136,18.838709677419356
338,35.934375
189,14.935483870967742
369,27.826666666666664
105,12.875
216,14.935483870967742
42,14.935483870967742
96,12.875
7,14.935483870967742
169,24.423076923076923
213,12.875
319,27.826666666666664
171,24.423076923076923
82,24.423076923076923
151,24.423076923076923
141,14.935483870967742
349,35.934375
371,27.826666666666664
302,35.934375
234,29.866666666666667
164,18.838709677419356
193,18.838709677419356
377,35.934375
174,24.423076923076923
242,18.838709677419356
86,14.935483870967742
76,14.935483870967742
366,23.866666666666664
27,12.875
48,18.838709677419356
267,35.934375
14,14.935483870967742
299,19.212500000000002
258,18.838709677419356
235,24.423076923076923
305,35.934375
57,29.866666666666667
270,35.934375
110,24.423076923076923
39,14.935483870967742
229,18.838709677419356
214,14.935483870967742
195,18.838709677419356
245,35.934375
227,18.838709677419356
247,35.934375
158,12.875
108,18.838709677419356
64,12.875
215,14.935483870967742
243,24.423076923076923
205,29.866666666666667
127,18.838709677419356
70,12.875
212,18.838709677419356
282,23.866666666666664
321,27.826666666666664
101,18.838709677419356
394,23.866666666666664
353,35.934375
386,35.934375
167,14.935483870967742
161,18.838709677419356
9,12.875
287,19.212500000000002
397,27.826666666666664
144,24.423076923076923
276,18.838709677419356
204,29.866666666666667
388,23.866666666666664
128,18.838709677419356
31,24.423076923076923
275,18.838709677419356
348,35.934375
126,18.838709677419356
103,29.866666666666667
294,35.934375
251,19.212500000000002
329,23.866666666666664
17,18.838709677419356
45,12.875
54,29.866666666666667
188,14.935483870967742
354,35.934375
19,24.423076923076923
336,27.826666666666664
368,27.826666666666664
296,35.934375
255,18.838709677419356
257,18.838709677419356
25,24.423076923076923
138,12.875
47,24.423076923076923
217,29.866666666666667
209,14.935483870967742
32,24.423076923076923
114,24.423076923076923
339,27.826666666666664
16,18.838709677419356
392,35.934375
72,24.423076923076923
254,18.838709677419356
26,12.875
323,35.934375
387,23.866666666666664
288,19.212500000000002
293,19.212500000000002
315,23.866666666666664
88,14.935483870967742
268,27.826666666666664
298,23.866666666666664
162,18.838709677419356
176,29.866666666666667
91,12.875
50,24.423076923076923
11,14.935483870967742
284,23.866666666666664
112,24.423076923076923
146,29.866666666666667
95,12.875
317,23.866666666666664
344,35.934375
249,35.934375
334,23.866666666666664
98,18.838709677419356
129,18.838709677419356
211,18.838709677419356
359,27.826666666666664
271,27.826666666666664
111,24.423076923076923
208,18.838709677419356
15,24.423076923076923
179,18.838709677419356
327,35.934375
248,35.934375
102,18.838709677419356
93,12.875
165,18.838709677419356
364,23.866666666666664
372,27.826666666666664
49,18.838709677419356
3,14.935483870967742
58,24.423076923076923
218,24.423076923076923
197,24.423076923076923
123,24.423076923076923
383,35.934375
192,18.838709677419356
393,23.866666666666664
231,14.935483870967742
324,23.866666666666664
20,29.866666666666667
133,24.423076923076923
281,23.866666666666664
202,18.838709677419356
381,35.934375
357,35.934375
291,19.212500000000002
60,24.423076923076923
253,18.838709677419356
259,18.838709677419356
163,18.838709677419356
261,18.838709677419356
