CONTROLN,TARGET_D
1171,1.1970762689549588
176468,0.37957657432002634
60752,0.7865923742602945
126337,0.8894249989604646
17820,0.44537977704928267
134279,1.4541193289618093
159385,0.14984648943064371
81523,-0.08357841999875859
93441,0.6532162177322505
38373,0.3839940254150065
188443,1.219806467249981
140920,0.5929038312963826
185912,0.9913383733627654
161403,1.8989329510719983
119447,0.14748306451298276
83395,0.1755974485406
16166,0.3475585694355914
123943,-0.14745783267858315
69302,0.7575845584065917
42420,1.2213552645765446
48947,0.013541183559937053
155569,0.17518463311611754
189367,0.9276737609981751
136366,0.4678326055682476
150601,1.258410925256868
56186,-0.556889450342851
25533,0.15573563442595173
147232,0.43176500815206964
72050,1.371882575723248
163892,1.433625775439566
97255,0.6536244005948504
188668,0.00787938772873531
154568,1.0021099275867584
179873,0.5489076434474498
114314,1.309055387307808
72002,1.2467530950986827
163131,2.049653273592952
73101,0.33788377819374205
112249,1.335997749344017
29777,0.02855411556197396
138953,1.6919497576902813
121664,1.1209930736704905
65159,0.8012833212781061
159171,1.2014718502304618
110955,0.2448431999416698
25110,0.8005183306406423
65363,0.6546765617528649
25084,0.5058994662697387
64811,0.054893755192011895
174297,0.30019122458892866
189827,1.0433132940703445
126040,0.6852279847404645
127604,0.02416198813085657
99258,0.8530079412699934
27294,1.1362203422890502
71056,0.5462497264162209
108004,0.2545871249919571
42054,0.8539390641464308
157251,0.43245525584265465
13151,-0.08697024878208026
135344,0.7346503313028734
107376,1.0602632379772103
179927,0.08591605237418776
50338,0.6965888641543643
143185,0.8584658046118818
117341,0.8072583492442504
85438,1.1702876394195414
117102,1.3119706820817782
111397,0.8278602264952042
77080,1.1622962750394947
87117,0.23702696293995018
120023,0.23574602156790547
63731,1.9831098971077665
165086,0.5187222945951078
72281,1.1436496039283952
121885,0.655233585056294
21403,0.2458600293435893
102639,-0.27318138614194254
86777,0.6728456509708849
34996,0.40393253965265785
136791,0.5662291924610656
34236,-0.36748055168123983
105631,0.8255181805044458
146382,2.056040987387462
64717,1.6182899466627134
9928,0.15406620218772105
70161,0.7985157583854345
187592,1.1718698932329232
95024,0.08486778236644454
67463,-0.28735730503834134
76028,-0.29179826324005376
190322,2.781244282998216
26235,1.9898679397443573
152574,0.18788963858645502
55712,-0.26657533173812453
97767,0.674521465045558
31959,0.6614044442359841
17526,0.4772416407155049
119626,1.2564639250301184
